,bag_openbareruimte_id,totaal_bijplaatsingen,aantal_niet_aplus,aantal_grofvuil,stadsdeel,postcode,adres,geometrie_origineel,dumpplek,aantal_handhavingen,lon,lat
1932,363300000004690.0,7726,4901,1358,Centrum,1012SG,Nieuwezijds Voorburgwal 102,POINT (121302.72362672293 487636.4549020643),False,891,4.892351789324353,52.375564872801725
746,363300000002933.0,7634,4810,2416,Zuidoost,1103TA,Bijlmerdreef 743,POINT (126123.3739612463 481311.89173156786),False,329,4.963684811132281,52.318998111433714
1555,363300000004146.0,4421,3479,1506,West,1055JE,Leeuwendalersweg 1,POINT (118508.52328404308 488180.44417117833),False,226,4.851260866800416,52.38027524391443
327,363300000001919.0,4352,3276,1964,Zuidoost,postcode niet in CMS,Karspeldreef 4,POINT (125033.72628609627 479782.8080459102),False,418,4.947839821274111,52.305197252968206
1938,363300000004696.0,4117,2510,800,Centrumlocaties,Nederland,Oudezijds Voorburgwal 85,POINT (121712.34536998911 487417.76651184564),True,361,4.8983886319254895,52.37362444121376
2160,363300000005005.0,3898,2562,670,Centrum,1012VV,Spuistraat 234,POINT (121087.98510919328 487155.317396998),False,667,4.889246963923379,52.37122753251346
1815,363300000004526.0,3726,2582,625,Centrum,Nederland,Singel 297,POINT (121035.87238193268 487106.295860715),True,956,4.888486731962883,52.37078374126205
1170,363300000003587.0,3597,2641,871,West,1057DD,Hoofdweg 180,POINT (118632.09315790104 486565.099019263),False,189,4.8532504321335175,52.36576594139656
1375,363300000003878.0,3592,2500,1073,Centrum,Nederland,Nieuwmarkt 10III,POINT (121822.67510132195 487334.6072539614),True,663,4.9000169319103435,52.37288374121463
2423,363300000005367.0,3583,3047,1687,Noord,1034PP,Noorderbreedte 153,POINT (123372.88607724872 491852.77301776264),False,165,4.922354436055971,52.413581252028365
343,363300000002129.0,3515,1931,714,Centrum,1013BH,Westerdok 324,POINT (121248.2823700681 488639.8860139478),False,108,4.891451532048152,52.384579641152946
596,363300000002701.0,3436,1978,446,Centrum,1018EK,Amstel 75,POINT (122016.90222517055 486317.59542889235),True,378,4.902968711824969,52.363755241273246
1142,363300000003550.0,3428,2368,768,Noord,1025GD,Het Laagt 87,POINT (124341.99927537276 489985.99673239875),False,91,4.936768431872001,52.39685904093631
1622,363300000004235.0,3350,2792,1152,Nieuw-West,1062GT,Maassluisstraat 438,POINT (117442.51070129356 484694.2443414721),False,437,4.835994632110228,52.348872041567546
1650,363300000004272.0,3255,2597,1093,Centrum,1015WL,Marnixstraat tegenover 293,POINT (120210.30843641679 487516.5483900359),False,551,4.87632242641827,52.374419113854145
1455,363300000003999.0,3249,2216,920,Zuidoost,1104SL,Kikkenstein 1014,POINT (126896.86155168567 481072.16079695354),False,144,4.975048875787231,52.31688360057445
2664,363300000005773.0,3186,2507,1559,Zuidoost,1103BG,Geldershoofd 116,POINT (126607.5862861233 481805.8512164434),False,269,4.970744721123072,52.32346276138124
1280,363300000003754.0,3107,2367,1381,Zuidoost,1103ER,Groeneveen 252,POINT (126859.58556073875 481503.08037105354),False,254,4.9744662310807986,52.32075457139092
1478,363300000004031.0,3016,2318,1094,Nieuw-West,1062KT,Carnapstraat 14,POINT (117694.91781749594 485390.2520165338),False,405,4.839621732135176,52.355144441511804
1054,363300000003405.0,2997,2464,1236,West,1053HD,Jacob van Lennepstraat 55A,POINT (119990.98974782621 486606.8248845207),False,308,4.873196632019339,52.366229241337855
1703,363300000004363.0,2953,2218,1127,Oost,1019HM,Piet Heinkade 227,POINT (123680.12805209242 487615.30825695134),False,579,4.927265391768599,52.375515571119394
1197,363300000003622.0,2942,2138,1113,Noord,1024KN,IJdoornlaan 347,POINT (125406.1814120074 489975.1126324338),False,181,4.9524042154474035,52.396819642104724
1063,363300000003414.0,2900,2458,1264,Oost,postcode niet in CMS,Pierre Lallementstraat 608,POINT (123379.28450554953 484753.4523234909),False,326,4.923116675498076,52.349777853928444
